instant_water_level,water_level_after_one_hour,water_level_after_three_hours,water_level_after_seven_hours,wind_speed,atmospheric_pressure,typhoon_center_pressure,maximum_wind_speed,local_rainfall
6.76,7.23,7.61,8,5.9,996.2,990,10.9,0.5
7.23,7.36,7.99,7.53,4.3,996.7,990,10.6,0
7.36,7.61,8.2,7.37,3.9,996.8,990,9.7,1
7.61,7.99,8.13,7.23,3.5,996.4,990,9,0
7.99,8.2,8,7.13,3.4,995.9,990,7.3,0
8.2,8.13,7.53,6.94,6,995.5,990,11.9,0
8.13,8,7.37,6.9,6.6,995.3,990,13,0
8,7.53,7.23,6.88,6.8,995.6,990,16,0.5
7.53,7.37,7.13,6.92,5.7,995.3,990,13.2,0
7.37,7.23,6.94,7.11,5.1,995,990,14.6,0
7.23,7.13,6.9,7.11,6.6,993.7,990,15.3,0
7.13,6.94,6.88,7.38,4.2,992.6,990,12.3,0
6.94,6.9,6.92,7.69,7.4,992.2,990,18.4,0
6.9,6.88,7.11,8,3.2,991.4,990,14.6,0
6.88,6.92,7.11,8.25,3.5,989.6,985,10.4,0
6.92,7.11,7.38,8.82,5.2,988.2,985,14.6,0
7.11,7.11,7.69,9.2,8.4,986.8,985,19.4,0
7.11,7.38,8,9.48,11.3,985.5,985,21.1,2
7.38,7.69,8.25,9.86,9.5,986.8,985,19.6,9
7.69,8,8.82,9.79,10.1,988.9,985,23.3,18.5
8,8.25,9.2,9.57,9.1,992.2,990,21.6,20
8.25,8.82,9.48,9.1,5.3,994.8,990,15.4,5
8.82,9.2,9.86,9.05,2.4,996,990,11.3,4.5
9.2,9.48,9.79,8.93,2.8,996.6,990,6.2,4.5
