instant_water_level,water_level_after_one_hour,water_level_after_three_hours,water_level_after_seven_hours,wind_speed,atmospheric_pressure,typhoon_center_pressure,maximum_wind_speed,local_rainfall
6.06,6.22,6.17,6,2.2,995.3,970,15,14
6.22,6.26,6.06,6.03,4.4,995.6,970,15.4,5
6.26,6.17,6.01,6.06,6.3,997.6,970,14.4,1
6.17,6.06,5.98,6.1,5.5,998.4,970,14.5,0.5
6.06,6.01,6,6.15,6.3,999.3,970,15.8,0.5
6.01,5.98,6.03,6.17,6.9,1000.9,970,17.1,3
5.98,6,6.06,6.15,5.2,1001.2,970,13.6,3.5
6,6.03,6.1,6.1,6.5,1001.3,970,14.2,7.5
6.03,6.06,6.15,6.08,5.9,1000.9,970,12.3,4.5
6.06,6.1,6.17,6.06,6.8,1000.9,970,13,0.5
6.1,6.15,6.15,6.07,6.4,1001.7,970,12.4,6
6.15,6.17,6.1,6.05,5.1,1001.9,970,11.3,6
6.17,6.15,6.08,6.05,4.8,1003.3,970,10.7,11.5
6.15,6.1,6.06,6.05,5.4,1003.4,970,13.4,30.5
6.1,6.08,6.07,6.05,5,1003.8,970,12.6,17
6.08,6.06,6.05,6.05,7.2,1004.4,970,14.9,3
6.06,6.07,6.05,6.05,3.1,1004.7,970,13.8,1.5
6.07,6.05,6.05,6.05,3.1,1005.7,970,15.6,3
6.05,6.05,6.05,6.05,1.8,1005.4,970,8.5,6
6.05,6.05,6.05,6.04,1.3,1004.6,970,6.5,0
6.05,6.05,6.05,6.04,0.8,1004.2,970,5.5,0
6.05,6.05,6.05,6.04,1.5,1003.4,970,6.1,0
6.05,6.05,6.05,6.04,0.9,1003.4,970,5,0
6.05,6.05,6.04,6.04,1.2,1002.9,970,5.4,0
