instant_water_level,water_level_after_one_hour,water_level_after_three_hours,water_level_after_seven_hours,wind_speed,atmospheric_pressure,typhoon_center_pressure,maximum_wind_speed,local_rainfall
5.28,5.28,5.3,5.32,5.1,1009.6,998,10,0
5.28,5.29,5.32,5.31,4.8,1008.1,998,9.8,0
5.29,5.3,5.32,5.32,2.3,1007.4,998,9,0
5.3,5.32,5.32,5.33,6.8,1006.9,998,12,0
5.32,5.32,5.32,5.33,2.7,1007.4,998,10.6,0
5.32,5.32,5.31,5.32,2.8,1008.2,998,7.1,2
5.32,5.32,5.32,5.33,0.2,1009.6,1000,4.7,3
5.32,5.31,5.33,5.34,2.7,1009.2,1000,4.9,2
5.31,5.32,5.33,5.35,3.3,1010,1000,6.1,0
5.32,5.33,5.32,5.35,1.6,1010.3,1000,6.2,1
5.33,5.33,5.33,5.36,1.7,1011.1,1000,4.5,1
5.33,5.32,5.34,5.37,2.3,1011.6,1000,9.2,0.5
5.32,5.33,5.35,5.48,6.8,1011.2,1004,13.4,7
5.33,5.34,5.35,5.71,4.7,1011.4,1004,3.4,10
5.34,5.35,5.36,5.89,5.2,1010.6,1004,4.4,3.5
5.35,5.35,5.37,5.96,5.6,1010.9,1004,4.1,5.5
5.35,5.36,5.48,6.01,6.6,1011.1,1004,3.5,4.5
5.36,5.37,5.71,6.04,7.3,1011.9,1004,4.6,6
5.37,5.48,5.89,6.05,6,1012.4,1008,4,7.5
5.48,5.71,5.96,6.03,5.5,1013,1006,3.8,1
5.71,5.89,6.01,6.02,6.7,1013.9,1006,3.8,0
5.89,5.96,6.04,6,5.8,1013.9,1006,4.3,0
5.96,6.01,6.05,5.97,5.3,1014.1,1006,4,0
6.01,6.04,6.03,5.94,4.7,1013.6,1006,4.4,0
