instant_water_level,water_level_after_one_hour,water_level_after_three_hours,water_level_after_seven_hours,wind_speed,atmospheric_pressure,typhoon_center_pressure,maximum_wind_speed,local_rainfall
8.15,8.15,7.95,7.69,4.1,998.2,996,8.2,0.5
8.15,8.13,7.88,7.62,5.9,998.4,996,10.2,0
8.13,8.13,7.88,7.64,5.7,999.1,996,11.3,0
8.13,7.95,7.12,7.64,6.5,999.5,996,11.9,0
7.95,7.88,7.69,7.64,5.6,999.5,996,12.9,0
7.88,7.88,7.62,7.74,7.1,999.4,996,14,0
7.88,7.12,7.64,7.74,7,999,996,14.8,0
7.12,7.69,7.64,7.84,4.5,998.3,996,12,0
7.69,7.62,7.64,8,4.2,998.1,996,12.1,0
7.62,7.64,7.74,8.42,4.1,997.6,996,13.2,1
7.64,7.64,7.74,8.71,5,997.5,996,11.3,8
7.64,7.64,7.84,9.1,6,998,996,16,2.5
7.64,7.74,8,9.29,3.2,998.5,992,10.9,2
7.74,7.74,8.42,9.17,2.9,998.7,992,9.8,7.5
7.74,7.84,8.71,9.13,3.3,999,992,10.1,7.5
7.84,8,9.1,9.12,5,999,992,14.3,14
8,8.42,9.29,9.06,6.3,999.2,992,14.7,27
8.42,8.71,9.17,8.85,3.8,999.4,992,12.6,5.5
8.71,9.1,9.13,8.85,4,999.6,992,10.7,2.5
9.1,9.29,9.12,8.8,3.4,999.3,992,9.7,6.5
9.29,9.17,9.06,8.7,1.3,999.3,992,6.6,10.5
9.17,9.13,8.85,8.58,2.3,999.2,992,5.3,4
9.13,9.12,8.85,8.4,2.7,998.9,992,5.3,1.5
9.12,9.06,8.8,8.25,3.9,998.8,992,6.4,0.5
9.06,8.85,8.7,8.21,3.6,999,992,8.1,0.5
