instant_water_level,water_level_after_one_hour,water_level_after_three_hours,water_level_after_seven_hours,wind_speed,atmospheric_pressure,typhoon_center_pressure,maximum_wind_speed,local_rainfall
6.88,7.92,10.75,12.49,9.4,985,960,28.8,6
7.92,9.51,11.56,12.34,14.6,985.8,960,34,6
9.51,10.75,11.97,12.26,15,986.9,965,34.5,2
10.75,11.56,12.32,12.14,14.3,990.5,965,30,1.5
11.56,11.97,12.49,11.95,9.5,992,965,29.7,3
11.97,12.32,12.34,11.86,8.5,993.5,965,20,4.5
12.32,12.49,12.26,11.8,8.4,994.6,965,18.3,2.5
12.49,12.34,12.14,11.62,6.4,994.6,965,16.1,2.5
12.34,12.26,11.95,11.43,6.5,994.5,975,15.5,3.5
12.26,12.14,11.86,11.15,8.8,994.2,975,15.8,0.5
12.14,11.95,11.8,10.83,6.9,995.9,975,17.4,12
11.95,11.86,11.62,10.5,3.8,996.2,975,12.9,9
11.86,11.8,11.43,10.04,5.9,997,975,15.2,9.5
11.8,11.62,11.15,9.64,7.8,998.4,975,17.3,8
11.62,11.43,10.83,9.31,7.1,999.5,985,15.7,3
11.43,11.15,10.5,9.14,6.7,1000,985,14.9,13.5
11.15,10.83,10.04,9.04,6.3,1000.6,985,14,0
10.83,10.5,9.64,8.98,5.7,1000.8,985,14.2,0
10.5,10.04,9.31,8.93,5.7,1000.7,985,13.5,0
10.04,9.64,9.14,8.94,4.8,1000.2,985,11.4,0
9.64,9.31,9.04,8.88,5.3,1000.1,990,13.9,0
9.31,9.14,8.98,8.88,6.4,1000.7,990,15,17.5
9.14,9.04,8.93,8.7,4.3,1000.7,990,15.2,8
9.04,8.98,8.94,8.7,6.5,1001.3,990,13.3,1
