instant_water_level,water_level_after_one_hour,water_level_after_three_hours,water_level_after_seven_hours,wind_speed,atmospheric_pressure,typhoon_center_pressure,maximum_wind_speed,local_rainfall
5.92,5.9,6.01,6.72,10.9,983,920,24.1,2
5.9,5.93,6.13,7.6,12.9,980.4,920,31.1,1
5.93,6.01,6.21,7.89,15.4,979.5,950,34.3,0.5
6.01,6.13,6.27,7.96,10.4,985.2,950,28.4,15.5
6.13,6.21,6.72,7.79,10,988.3,950,21.6,60
6.21,6.27,7.6,7.64,7,990.1,950,20.9,39.5
6.27,6.72,7.89,7.61,5,991.1,950,15.1,9.5
6.72,7.6,7.96,7.5,3.5,991.5,950,11.5,3
7.6,7.89,7.79,7.4,2.4,991.9,975,9.4,0.5
7.89,7.96,7.64,7.27,3.3,991.8,975,7.7,1.5
7.96,7.79,7.61,7.17,3.1,992.3,975,7.1,8
7.79,7.64,7.5,7.13,2.9,991.9,975,7,4
7.64,7.61,7.4,7.09,2.5,992.1,975,6.7,3.5
7.61,7.5,7.27,7.05,6.8,992.5,975,13.3,1
7.5,7.4,7.17,7.03,3.6,993.2,975,11.4,1.5
7.4,7.27,7.13,7.02,5.9,994.3,985,10.9,0
7.27,7.17,7.09,7.02,7.1,994.5,985,13.5,0.5
7.17,7.13,7.05,7.01,7.2,993.7,985,15.8,5
7.13,7.09,7.03,7.08,6.2,994.3,985,13.7,2
7.09,7.05,7.02,7.17,5.4,994.8,985,12.2,0
7.05,7.03,7.02,7.35,5.8,994.8,985,10,7.5
7.03,7.02,7.01,7.73,5.5,995,985,14.5,0.5
7.02,7.02,7.08,7.81,4.7,995.1,985,13.6,0.5
7.02,7.01,7.17,7.88,6.1,996.1,985,13.3,1.5
