instant_water_level,water_level_after_one_hour,water_level_after_three_hours,water_level_after_seven_hours,wind_speed,atmospheric_pressure,typhoon_center_pressure,maximum_wind_speed,local_rainfall
4.93,4.96,4.98,5.44,4.9,990.5,965,13.2,7
4.96,4.97,5.01,6.71,7.9,990.3,965,15,0.5
4.97,4.98,5.06,7.57,6.6,991.3,965,16.4,0
4.98,5.01,5.14,7.94,6.2,991.9,965,16.7,0
5.01,5.06,5.44,8.02,6.8,993.3,965,16.4,0.5
5.06,5.14,6.71,8,6.1,993.7,965,16.9,4
5.14,5.44,7.57,7.96,6.9,994.2,965,17.2,28.5
5.44,6.71,7.94,7.87,4.2,993.6,965,12.9,11.5
6.71,7.57,8.02,7.86,4.7,993.3,965,10.4,2.5
7.57,7.94,8,7.93,5.4,993.3,965,11.9,0.5
7.94,8.02,7.96,8,5.3,993.5,965,11.6,0
8.02,8,7.87,7.97,5.7,993.9,965,12.2,1.5
8,7.96,7.86,7.95,7.5,994.4,965,15.4,0
7.96,7.87,7.93,7.92,6.8,995.8,965,13.2,0
7.87,7.86,8,7.91,6.4,996.7,965,13.4,0
7.86,7.93,7.97,7.99,6.4,997.7,980,12.9,0
7.93,8,7.95,8.1,6.2,998.5,980,13.7,0
8,7.97,7.92,8.13,5.3,998.7,980,12.3,0
7.97,7.95,7.91,8.07,5.4,998.9,980,10.6,0
7.95,7.92,7.99,7.98,5.7,998.6,980,15,3.5
7.92,7.91,8.1,7.78,6.9,999,985,11.5,0
7.91,7.99,8.13,7.49,6.7,999,985,10.3,0
7.99,8.1,8.07,7.22,5.7,999.7,985,10.7,0
8.1,8.13,7.98,7.06,4.4,999.3,985,12,0
