instant_water_level,water_level_after_one_hour,water_level_after_three_hours,water_level_after_seven_hours,wind_speed,atmospheric_pressure,typhoon_center_pressure,maximum_wind_speed,local_rainfall
5.21,5.17,6.13,7.16,1.2,987.1,920,3.9,0.5
5.17,5.25,6.51,7.26,2.5,985.2,920,6.9,1.5
5.25,6.13,6.72,7.36,4.2,984.2,925,7.6,0
6.13,6.51,7.02,7.48,3.3,984.3,925,10.6,0.5
6.51,6.72,7.16,7.72,3.8,984.1,925,8.4,1.5
6.72,7.02,7.26,7.82,3.9,983.9,925,8.6,0
7.02,7.16,7.36,7.79,1.8,986.1,925,8.5,0.5
7.16,7.26,7.48,7.86,2.7,986.9,925,4.8,1
7.26,7.36,7.72,7.95,1.4,987.5,930,8.9,0
7.36,7.48,7.82,7.94,2,988.3,930,8.6,0.5
7.48,7.72,7.79,7.88,2,989.3,930,9.4,0.5
7.72,7.82,7.86,7.81,2.3,989.4,930,11.3,0
7.82,7.79,7.95,7.73,2.1,990.1,930,13.2,0.5
7.79,7.86,7.94,7.65,3,990.1,930,11.4,0.5
7.86,7.95,7.88,7.59,4.3,990.5,935,11.6,2.5
7.95,7.94,7.81,7.5,2.8,991.2,935,10.1,4.5
7.94,7.88,7.73,7.38,7.8,992.6,935,20.3,18
7.88,7.81,7.65,7.3,4.9,993,935,17.4,8
7.81,7.73,7.59,7.23,7.2,993.4,935,17.1,0
7.73,7.65,7.5,7.15,8,994.8,935,18.1,0
7.65,7.59,7.38,7.12,7.8,996.1,935,18.8,0
7.59,7.5,7.3,7.08,7.2,997.4,935,19.4,1
7.5,7.38,7.23,7,7.3,997.6,935,16.2,0.5
7.38,7.3,7.15,6.92,6.7,998.3,935,14.7,0
